# Synthetic prototype data — not real customer bookings. DO NOT insert into public.bookings.
provider_id,date,city,service_id,service_name,booking_count,completed_count,cancelled_count,rejected_count,rating,active_jobs,daily_earnings_proxy
prov-delhi-society-common-area-sanitization,2026-07-05,Chennai,srv-cook-01,Home Chef & Meal Preparation,1,1,0,0,4.51,0,586
prov-visakhapatnam-organic-pest-control,2026-07-05,Chennai,srv-cook-01,Home Chef & Meal Preparation,0,0,0,0,4.67,0,0
prov-chennai-home-chef-meal-preparation,2026-07-05,Chennai,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.63,0,538
prov-kolkata-organic-pest-control,2026-07-05,Chennai,srv-elec-01,Electrical Repair & Wiring,0,0,0,0,4.75,0,0
prov-priya-02,2026-07-05,Chennai,srv-garden-01,Gardening & Balcony Greenery,0,0,0,0,4.48,0,0
prov-hyderabad-society-common-area-sanitization,2026-07-05,Chennai,srv-move-01,Moving & Heavy Lifting Assistance,0,0,0,0,4.7,0,0
prov-jaipur-organic-pest-control,2026-07-05,Chennai,srv-move-01,Moving & Heavy Lifting Assistance,2,2,0,0,4.5,5,1745
prov-chennai-carpentry-furniture-assembly,2026-07-05,Chennai,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,4.74,0,0
prov-chennai-gardening-balcony-greenery,2026-07-05,Chennai,srv-pest-01,Organic Pest Control,1,1,0,0,5.0,0,973
prov-chennai-closet-organiser,2026-07-05,Chennai,srv-plumb-01,Plumbing Repair & Leakage Fix,4,4,0,0,4.77,2,1633
prov-chennai-community-event-sound-electrical-setup,2026-07-05,Chennai,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.66,2,0
prov-chennai-moving-heavy-lifting-assistance,2026-07-05,Chennai,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.75,0,438
prov-delhi-most-02,2026-07-05,Coimbatore,srv-carp-01,Carpentry & Furniture Assembly,1,1,0,0,4.52,0,463
prov-gurgaon-elder-assistance-companionship,2026-07-05,Coimbatore,srv-carp-01,Carpentry & Furniture Assembly,0,0,0,0,4.58,0,0
prov-indore-most-01,2026-07-05,Coimbatore,srv-carp-01,Carpentry & Furniture Assembly,2,2,0,0,4.63,1,1033
prov-siliguri-most-02,2026-07-05,Coimbatore,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.8,0,0
prov-bengaluru-most-02,2026-07-05,Coimbatore,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.72,0,470
prov-ahmedabad-organic-pest-control,2026-07-05,Coimbatore,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,4.62,0,0
prov-ahmedabad-10,2026-07-05,Coimbatore,srv-pest-01,Organic Pest Control,0,0,0,0,4.73,0,0
prov-jaipur-20,2026-07-05,Coimbatore,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.53,0,0
prov-pune-society-common-area-sanitization,2026-07-05,Coimbatore,srv-plumb-01,Plumbing Repair & Leakage Fix,3,3,0,0,4.45,1,1318
prov-gurgaon-car-washing,2026-07-05,Coimbatore,srv-soc-clean-01,Society Common Area Sanitization,0,0,0,0,4.69,0,0
prov-mumbai-plumbing-repair-leakage-fix,2026-07-05,Coimbatore,srv-soc-event-01,Community Event Sound & Electrical Setup,0,0,0,0,4.7,0,0
prov-amit-03,2026-07-05,Delhi NCR,srv-ac-01,AC Deep Foam Jet Servicing,0,0,0,0,5.0,0,0
prov-delhi-most-01,2026-07-05,Delhi NCR,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.88,0,0
prov-delhi-most-03,2026-07-05,Delhi NCR,srv-clean-01,Full Home Deep Cleaning,2,2,0,0,4.73,1,2617
prov-siliguri-plumbing-repair-leakage-fix,2026-07-05,Delhi NCR,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.48,0,1251
prov-delhi-home-chef-meal-preparation,2026-07-05,Delhi NCR,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.96,0,0
prov-gurgaon-society-common-area-sanitization,2026-07-05,Delhi NCR,srv-elec-01,Electrical Repair & Wiring,0,0,0,0,4.57,0,0
prov-patna-wall-painting-waterproofing,2026-07-05,Delhi NCR,srv-garden-01,Gardening & Balcony Greenery,0,0,0,0,4.61,0,0
prov-delhi-carpentry-furniture-assembly,2026-07-05,Delhi NCR,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,4.74,0,0
prov-delhi-gardening-balcony-greenery,2026-07-05,Delhi NCR,srv-pest-01,Organic Pest Control,2,2,0,0,5.0,1,1728
prov-delhi-07,2026-07-05,Delhi NCR,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.91,0,409
prov-delhi-closet-organiser,2026-07-05,Delhi NCR,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.83,1,938
prov-delhi-community-event-sound-electrical-setup,2026-07-05,Delhi NCR,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.66,0,460
prov-delhi-moving-heavy-lifting-assistance,2026-07-05,Delhi NCR,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.95,0,0
prov-indore-car-washing,2026-07-05,Delhi NCR,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,0,0,0,0,4.46,0,0
prov-lucknow-elder-assistance-companionship,2026-07-05,Delhi NCR,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,1,1,0,0,4.7,0,3216
prov-gurgaon-wall-painting-waterproofing,2026-07-05,Gurugram,srv-carp-01,Carpentry & Furniture Assembly,0,0,0,0,4.64,0,0
prov-gurgaon-most-02,2026-07-05,Gurugram,srv-clean-01,Full Home Deep Cleaning,2,2,0,0,4.89,1,2580
prov-chennai-wall-painting-waterproofing,2026-07-05,Gurugram,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.52,0,0
prov-gurgaon-home-chef-meal-preparation,2026-07-05,Gurugram,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.77,0,507
prov-gurgaon-carpentry-furniture-assembly,2026-07-05,Gurugram,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,4.78,2,1872
prov-gurgaon-gardening-balcony-greenery,2026-07-05,Gurugram,srv-pest-01,Organic Pest Control,2,2,0,0,4.76,1,1812
prov-gurgaon-closet-organiser,2026-07-05,Gurugram,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.83,0,0
prov-gurgaon-community-event-sound-electrical-setup,2026-07-05,Gurugram,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.73,0,0
prov-gurgaon-moving-heavy-lifting-assistance,2026-07-05,Gurugram,srv-plumb-01,Plumbing Repair & Leakage Fix,2,1,1,0,4.92,1,431
prov-patna-elder-assistance-companionship,2026-07-05,Gurugram,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.49,0,0
prov-siliguri-18,2026-07-05,Gurugram,srv-soc-event-01,Community Event Sound & Electrical Setup,3,3,0,0,4.67,1,4882
prov-hyderabad-19,2026-07-05,Hyderabad,srv-carp-01,Carpentry & Furniture Assembly,2,2,0,0,4.99,1,1046
prov-hyderabad-most-01,2026-07-05,Hyderabad,srv-clean-01,Full Home Deep Cleaning,4,4,0,0,4.67,2,5096
prov-hyderabad-home-chef-meal-preparation,2026-07-05,Hyderabad,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.9,5,0
prov-indore-society-common-area-sanitization,2026-07-05,Hyderabad,srv-elder-01,Elder Assistance & Companionship,3,3,0,0,4.46,1,1368
prov-pune-plumbing-repair-leakage-fix,2026-07-05,Hyderabad,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,3.82,0,0
prov-visakhapatnam-wall-painting-waterproofing,2026-07-05,Hyderabad,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.47,0,0
prov-hyderabad-carpentry-furniture-assembly,2026-07-05,Hyderabad,srv-paint-01,Wall Painting & Waterproofing,3,2,0,1,4.92,1,4323
prov-hyderabad-gardening-balcony-greenery,2026-07-05,Hyderabad,srv-pest-01,Organic Pest Control,2,2,0,0,5.0,1,1900
prov-siliguri-gardening-balcony-greenery,2026-07-05,Hyderabad,srv-pest-01,Organic Pest Control,0,0,0,0,4.91,0,0
prov-chennai-most-02,2026-07-05,Hyderabad,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.61,0,0
prov-hyderabad-closet-organiser,2026-07-05,Hyderabad,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.81,0,444
prov-hyderabad-community-event-sound-electrical-setup,2026-07-05,Hyderabad,srv-plumb-01,Plumbing Repair & Leakage Fix,4,4,0,0,4.91,2,1906
prov-hyderabad-moving-heavy-lifting-assistance,2026-07-05,Hyderabad,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.93,0,0
prov-ahmedabad-society-common-area-sanitization,2026-07-05,Hyderabad,srv-soc-clean-01,Society Common Area Sanitization,1,1,0,0,4.66,0,2272
prov-indore-elder-assistance-companionship,2026-07-05,Hyderabad,srv-soc-event-01,Community Event Sound & Electrical Setup,0,0,0,0,4.54,0,0
prov-lucknow-wall-painting-waterproofing,2026-07-05,Hyderabad,srv-soc-event-01,Community Event Sound & Electrical Setup,1,1,0,0,4.53,0,1663
prov-siliguri-wall-painting-waterproofing,2026-07-05,Hyderabad,srv-soc-event-01,Community Event Sound & Electrical Setup,1,1,0,0,4.45,0,1633
prov-delhi-elder-assistance-companionship,2026-07-05,Indore,srv-carp-01,Carpentry & Furniture Assembly,4,4,0,0,4.72,2,2015
prov-indore-organic-pest-control,2026-07-05,Indore,srv-carp-01,Carpentry & Furniture Assembly,0,0,0,0,4.6,0,0
prov-indore-most-02,2026-07-05,Indore,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.85,0,0
prov-indore-home-chef-meal-preparation,2026-07-05,Indore,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.83,0,0
prov-indore-carpentry-furniture-assembly,2026-07-05,Indore,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,4.73,0,0
prov-kolkata-most-02,2026-07-05,Indore,srv-paint-01,Wall Painting & Waterproofing,5,5,0,0,4.7,2,9001
prov-kolkata-plumbing-repair-leakage-fix,2026-07-05,Indore,srv-paint-01,Wall Painting & Waterproofing,3,3,0,0,4.46,1,6276
prov-hyderabad-car-washing,2026-07-05,Indore,srv-pest-01,Organic Pest Control,0,0,0,0,4.74,0,0
prov-indore-gardening-balcony-greenery,2026-07-05,Indore,srv-pest-01,Organic Pest Control,0,0,0,0,4.9,0,0
prov-ahmedabad-plumbing-repair-leakage-fix,2026-07-05,Indore,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.55,1,865
prov-indore-closet-organiser,2026-07-05,Indore,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.85,0,452
prov-indore-community-event-sound-electrical-setup,2026-07-05,Indore,srv-plumb-01,Plumbing Repair & Leakage Fix,3,3,0,0,4.91,1,1289
prov-indore-moving-heavy-lifting-assistance,2026-07-05,Indore,srv-plumb-01,Plumbing Repair & Leakage Fix,5,5,0,0,4.93,2,2097
prov-jaipur-plumbing-repair-leakage-fix,2026-07-05,Indore,srv-soc-clean-01,Society Common Area Sanitization,5,3,1,1,3.52,2,7388
prov-delhi-organic-pest-control,2026-07-05,Indore,srv-soc-event-01,Community Event Sound & Electrical Setup,2,2,0,0,4.56,1,3371
prov-bengaluru-organic-pest-control,2026-07-05,Jaipur,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.65,0,1181
prov-jaipur-home-chef-meal-preparation,2026-07-05,Jaipur,srv-elder-01,Elder Assistance & Companionship,5,5,0,0,4.71,2,2451
prov-siliguri-home-chef-meal-preparation,2026-07-05,Jaipur,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.83,0,0
prov-mumbai-organic-pest-control,2026-07-05,Jaipur,srv-garden-01,Gardening & Balcony Greenery,2,2,0,0,4.61,1,969
prov-jaipur-carpentry-furniture-assembly,2026-07-05,Jaipur,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,4.7,0,1878
prov-jaipur-gardening-balcony-greenery,2026-07-05,Jaipur,srv-pest-01,Organic Pest Control,2,2,0,0,4.89,1,1765
prov-jaipur-community-event-sound-electrical-setup,2026-07-05,Jaipur,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.89,1,825
prov-jaipur-most-02,2026-07-05,Jaipur,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.86,0,415
prov-jaipur-moving-heavy-lifting-assistance,2026-07-05,Jaipur,srv-plumb-01,Plumbing Repair & Leakage Fix,3,3,0,0,4.94,1,1364
prov-siliguri-community-event-sound-electrical-setup,2026-07-05,Jaipur,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.77,0,447
prov-bengaluru-wall-painting-waterproofing,2026-07-05,Kochi,srv-ac-01,AC Deep Foam Jet Servicing,1,1,0,0,4.62,0,702
prov-chennai-plumbing-repair-leakage-fix,2026-07-05,Kochi,srv-ac-01,AC Deep Foam Jet Servicing,0,0,0,0,4.47,0,0
prov-gurgaon-08,2026-07-05,Kochi,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.57,0,0
prov-mumbai-most-01,2026-07-05,Kochi,srv-clean-01,Full Home Deep Cleaning,3,3,0,0,4.65,1,3995
prov-sunita-06,2026-07-05,Kochi,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.49,0,1222
prov-jaipur-wall-painting-waterproofing,2026-07-05,Kochi,srv-cook-01,Home Chef & Meal Preparation,2,2,0,0,4.72,1,1331
prov-pune-elder-assistance-companionship,2026-07-05,Kochi,srv-elec-01,Electrical Repair & Wiring,0,0,0,0,4.72,0,0
prov-chennai-organic-pest-control,2026-07-05,Kochi,srv-garden-01,Gardening & Balcony Greenery,2,2,0,0,4.45,1,1037
prov-kolkata-wall-painting-waterproofing,2026-07-05,Kochi,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,1,1,0,0,4.47,0,3619
prov-patna-organic-pest-control,2026-07-05,Kolkata,srv-ac-01,AC Deep Foam Jet Servicing,0,0,0,0,4.53,0,0
prov-jaipur-car-washing,2026-07-05,Kolkata,srv-clean-01,Full Home Deep Cleaning,2,2,0,0,4.68,1,2657
prov-kolkata-most-01,2026-07-05,Kolkata,srv-clean-01,Full Home Deep Cleaning,2,2,0,0,4.68,3,2764
prov-kolkata-home-chef-meal-preparation,2026-07-05,Kolkata,srv-elder-01,Elder Assistance & Companionship,5,2,2,1,3.9,2,1065
prov-ahmedabad-most-02,2026-07-05,Kolkata,srv-elec-01,Electrical Repair & Wiring,2,2,0,0,4.62,1,800
prov-patna-plumbing-repair-leakage-fix,2026-07-05,Kolkata,srv-elec-01,Electrical Repair & Wiring,1,1,0,0,4.48,0,376
prov-visakhapatnam-elder-assistance-companionship,2026-07-05,Kolkata,srv-elec-01,Electrical Repair & Wiring,2,2,0,0,4.68,1,789
prov-jaipur-closet-organiser,2026-07-05,Kolkata,srv-garden-01,Gardening & Balcony Greenery,1,1,0,0,4.57,0,488
prov-kolkata-17,2026-07-05,Kolkata,srv-garden-01,Gardening & Balcony Greenery,1,1,0,0,5.0,0,474
prov-lucknow-most-01,2026-07-05,Kolkata,srv-garden-01,Gardening & Balcony Greenery,0,0,0,0,4.63,0,0
prov-chennai-society-common-area-sanitization,2026-07-05,Kolkata,srv-move-01,Moving & Heavy Lifting Assistance,1,1,0,0,4.5,0,758
prov-kolkata-carpentry-furniture-assembly,2026-07-05,Kolkata,srv-paint-01,Wall Painting & Waterproofing,0,0,0,0,5.0,0,0
prov-kolkata-gardening-balcony-greenery,2026-07-05,Kolkata,srv-pest-01,Organic Pest Control,1,1,0,0,4.94,0,944
prov-kolkata-closet-organiser,2026-07-05,Kolkata,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.85,0,428
prov-kolkata-community-event-sound-electrical-setup,2026-07-05,Kolkata,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.91,1,825
prov-kolkata-moving-heavy-lifting-assistance,2026-07-05,Kolkata,srv-plumb-01,Plumbing Repair & Leakage Fix,3,3,0,0,4.8,1,1339
prov-siliguri-moving-heavy-lifting-assistance,2026-07-05,Kolkata,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.86,0,411
prov-lucknow-most-02,2026-07-05,Lucknow,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.69,0,1246
prov-lucknow-home-chef-meal-preparation,2026-07-05,Lucknow,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.92,0,531
prov-visakhapatnam-society-common-area-sanitization,2026-07-05,Lucknow,srv-elder-01,Elder Assistance & Companionship,2,2,0,0,4.6,1,1066
prov-lucknow-carpentry-furniture-assembly,2026-07-05,Lucknow,srv-paint-01,Wall Painting & Waterproofing,3,3,0,0,4.92,1,6177
prov-lucknow-gardening-balcony-greenery,2026-07-05,Lucknow,srv-pest-01,Organic Pest Control,0,0,0,0,4.99,0,0
prov-lucknow-closet-organiser,2026-07-05,Lucknow,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.89,0,406
prov-lucknow-community-event-sound-electrical-setup,2026-07-05,Lucknow,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.89,0,0
prov-lucknow-moving-heavy-lifting-assistance,2026-07-05,Lucknow,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.91,1,979
prov-siliguri-closet-organiser,2026-07-05,Lucknow,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.9,0,414
prov-mumbai-car-washing,2026-07-05,Lucknow,srv-soc-clean-01,Society Common Area Sanitization,1,1,0,0,4.5,0,2537
prov-gurgaon-plumbing-repair-leakage-fix,2026-07-05,Mumbai,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,4.6,0,1325
prov-mumbai-09,2026-07-05,Mumbai,srv-clean-01,Full Home Deep Cleaning,1,1,0,0,5.0,0,1189
prov-mumbai-most-02,2026-07-05,Mumbai,srv-clean-01,Full Home Deep Cleaning,3,3,0,0,4.93,1,3787
prov-mumbai-home-chef-meal-preparation,2026-07-05,Mumbai,srv-elder-01,Elder Assistance & Companionship,1,1,0,0,4.98,0,455
prov-hyderabad-elder-assistance-companionship,2026-07-05,Mumbai,srv-elec-01,Electrical Repair & Wiring,0,0,0,0,4.63,0,0
prov-mumbai-carpentry-furniture-assembly,2026-07-05,Mumbai,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,4.91,0,1914
prov-mumbai-gardening-balcony-greenery,2026-07-05,Mumbai,srv-pest-01,Organic Pest Control,0,0,0,0,4.82,0,0
prov-mumbai-closet-organiser,2026-07-05,Mumbai,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.81,0,463
prov-mumbai-community-event-sound-electrical-setup,2026-07-05,Mumbai,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.79,0,0
prov-mumbai-moving-heavy-lifting-assistance,2026-07-05,Mumbai,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,4.8,0,0
prov-gurgaon-organic-pest-control,2026-07-05,Mumbai,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,1,1,0,0,4.74,0,3418
prov-siliguri-most-01,2026-07-05,Nagpur,srv-carp-01,Carpentry & Furniture Assembly,0,0,0,0,4.6,0,0
prov-bengaluru-car-washing,2026-07-05,Nagpur,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,4.49,0,2024
prov-chennai-elder-assistance-companionship,2026-07-05,Nagpur,srv-pest-01,Organic Pest Control,2,2,0,0,4.62,1,1863
prov-pune-wall-painting-waterproofing,2026-07-05,Nagpur,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.6,1,983
prov-chennai-car-washing,2026-07-05,Nagpur,srv-soc-clean-01,Society Common Area Sanitization,0,0,0,0,4.56,0,0
prov-rahul-02,2026-07-05,Nagpur,srv-soc-clean-01,Society Common Area Sanitization,0,0,0,0,4.51,0,0
prov-visakhapatnam-car-washing,2026-07-05,Nagpur,srv-soc-event-01,Community Event Sound & Electrical Setup,2,2,0,0,4.46,1,3945
prov-bengaluru-elder-assistance-companionship,2026-07-05,Patna,srv-ac-01,AC Deep Foam Jet Servicing,1,1,0,0,4.61,0,748
prov-gurgaon-most-01,2026-07-05,Patna,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.65,0,0
prov-patna-most-02,2026-07-05,Patna,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.92,0,0
prov-rahul-05,2026-07-05,Patna,srv-cook-01,Home Chef & Meal Preparation,2,2,0,0,4.93,1,1369
prov-patna-home-chef-meal-preparation,2026-07-05,Patna,srv-elder-01,Elder Assistance & Companionship,2,2,0,0,4.97,1,1020
prov-indore-plumbing-repair-leakage-fix,2026-07-05,Patna,srv-elec-01,Electrical Repair & Wiring,0,0,0,0,3.3,0,0
prov-jaipur-elder-assistance-companionship,2026-07-05,Patna,srv-garden-01,Gardening & Balcony Greenery,0,0,0,0,4.52,0,0
prov-hyderabad-most-02,2026-07-05,Patna,srv-move-01,Moving & Heavy Lifting Assistance,1,1,0,0,4.55,0,822
prov-kolkata-elder-assistance-companionship,2026-07-05,Patna,srv-move-01,Moving & Heavy Lifting Assistance,2,2,0,0,4.47,1,1740
prov-patna-carpentry-furniture-assembly,2026-07-05,Patna,srv-paint-01,Wall Painting & Waterproofing,1,1,0,0,4.86,0,2070
prov-patna-gardening-balcony-greenery,2026-07-05,Patna,srv-pest-01,Organic Pest Control,2,2,0,0,4.86,1,1877
prov-patna-closet-organiser,2026-07-05,Patna,srv-plumb-01,Plumbing Repair & Leakage Fix,2,2,0,0,4.88,1,861
prov-patna-community-event-sound-electrical-setup,2026-07-05,Patna,srv-plumb-01,Plumbing Repair & Leakage Fix,1,1,0,0,4.89,0,458
prov-patna-moving-heavy-lifting-assistance,2026-07-05,Patna,srv-plumb-01,Plumbing Repair & Leakage Fix,0,0,0,0,5.0,0,0
prov-patna-15,2026-07-05,Patna,srv-soc-event-01,Community Event Sound & Electrical Setup,2,2,0,0,4.9,1,3341
prov-vizag-most-01,2026-07-05,Patna,srv-soc-tank-01,Water Sump & Overhead Tank Cleaning,1,1,0,0,4.61,0,3347
prov-pune-most-01,2026-07-05,Pune,srv-clean-01,Full Home Deep Cleaning,0,0,0,0,4.85,0,0
prov-pune-home-chef-meal-preparation,2026-07-05,Pune,srv-elder-01,Elder Assistance & Companionship,0,0,0,0,4.93,0,0
prov-jaipur-most-01,2026-07-05,Pune,srv-garden-01,Gardening & Balcony Greenery,3,3,0,0,4.64,1,1634
prov-lucknow-society-common-area-sanitization,2026-07-05,Pune,srv-move-01,Moving & Heavy Lifting Assistance,1,1,0,0,4.45,0,799
